track_idx,joy,calm,sadness,fear,energizing,dreamy
5,0.6545083522796631,0.6687315106391907,0.4602888524532318,0.8681296110153198,0.847510814666748,0.8036076426506042
15,0.35119980573654175,0.06518702954053879,0.004654597491025925,0.018761083483695984,0.9291877746582031,0.7953751087188721
36,0.9878528118133545,0.38824108242988586,0.0037507889792323112,0.009020280092954636,0.9934738874435425,0.982856273651123
38,0.01342825498431921,0.046986646950244904,0.7741995453834534,0.8773717880249023,0.4938967823982239,0.323246568441391
50,0.004015091806650162,0.020586777478456497,0.4443236291408539,0.23388129472732544,0.2516017556190491,0.3501991331577301
55,0.34593337774276733,0.06301946938037872,0.6223158836364746,0.6567408442497253,0.9010534286499023,0.6189532279968262
58,0.9161471128463745,0.3790910243988037,0.5237248539924622,0.5065914392471313,0.9989266991615295,0.9949690103530884
66,0.017342349514365196,0.04360952973365784,0.5590493083000183,0.5140953660011292,0.5437113642692566,0.4624730348587036
78,0.005030917003750801,0.03923192620277405,0.9231085181236267,0.7213078737258911,0.2447463870048523,0.2285006195306778
81,0.013493096455931664,0.004867417272180319,0.7278304100036621,0.5161076784133911,0.7983047366142273,0.31168869137763977
86,0.059101540595293045,0.02178116887807846,0.5104964375495911,0.41182029247283936,0.38144996762275696,0.2340344488620758
94,0.42667990922927856,0.4938967823982239,0.9431777000427246,0.5777336359024048,0.8088988661766052,0.7723590135574341
96,0.12368279695510864,0.09463585913181305,0.7135345935821533,0.7940258383750916,0.849986732006073,0.5619060397148132
98,0.3935598134994507,0.320661723613739,0.9453994035720825,0.9278550744056702,0.9298555254936218,0.8211475014686584
103,0.5610343813896179,0.004876886960119009,0.7611836194992065,0.7101762890815735,0.9898303151130676,0.9194619655609131
106,0.04854108765721321,0.013506102375686169,0.8959174752235413,0.7693402171134949,0.8425395488739014,0.6418715119361877
118,0.13753247261047363,0.02515488676726818,0.6691234707832336,0.14734035730361938,0.5742753744125366,0.5454673171043396
126,0.769946277141571,0.7800347805023193,0.6985929608345032,0.7733447551727295,0.9557754397392273,0.7330877780914307
134,0.21325425803661346,0.3439474403858185,0.22126653790473938,0.11269008368253708,0.876634418964386,0.5428633093833923
